State,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient,Latitude,Longitude,District,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,13.5,79.25,Ramachandrapuram,0.07,0.0,0.0,0.0,2.64,6.35,4.32,0.27,2.02,0.1,0.26,7.06
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,13.5,79.5,Vadamalapeta,0.07,0.0,0.0,0.0,3.79,7.13,2.7,0.37,5.74,0.35,0.46,6.3
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,13.5,79.75,Kumara Venkata Bhupalapuram,0.0,0.0,0.0,0.0,6.4,4.41,3.67,0.74,5.56,0.91,1.79,6.15
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,13.5,80.0,Satyavedu,0.0,0.0,0.0,0.0,6.98,4.53,2.85,0.55,6.42,1.09,2.81,5.95
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,13.5,80.25,Tada,0.0,0.0,0.0,0.0,7.06,4.25,2.03,0.47,7.25,0.88,2.59,6.28
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,13.75,77.0,Agali,0.16,0.0,0.0,0.0,3.66,4.72,3.93,0.2,1.58,0.29,0.05,0.89
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,13.75,77.5,Hindupur,0.42,0.0,0.0,0.01,4.01,3.28,5.64,0.34,1.13,0.01,0.15,1.02
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,13.75,78.25,Pedda Thippasamudram,0.18,0.0,0.24,0.0,4.19,3.37,5.01,0.43,1.11,0.45,0.13,3.03
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,13.75,78.5,Thamballapalle,0.08,0.0,0.18,0.0,2.18,2.11,2.85,0.3,0.99,0.37,0.49,1.99
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,13.75,78.75,Kalikiri,0.08,0.0,0.13,0.0,2.42,2.78,3.29,0.25,0.93,0.43,0.38,2.28
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,13.75,79.0,Pileru,0.0,0.0,0.0,0.0,2.66,4.06,4.42,0.14,1.3,0.58,0.29,5.67
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,13.75,79.25,Tirupati (Urban),0.02,0.0,0.0,0.0,2.62,3.94,4.28,0.19,1.81,0.34,0.57,8.06
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,13.75,79.5,Renigunta,0.17,0.0,0.0,0.0,2.39,2.79,1.37,0.14,2.37,1.85,1.32,7.04
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,13.75,79.75,Thottambedu,0.05,0.0,0.0,0.0,6.5,3.22,2.66,1.0,4.08,1.48,1.26,5.81
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,13.75,80.0,Doravarisatram,0.04,0.0,0.0,0.0,6.67,3.47,2.87,0.92,4.23,1.47,1.37,5.73
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.0,77.0,Amarapuram,0.28,0.0,0.0,0.0,4.32,2.91,5.84,0.54,1.5,0.39,0.0,0.87
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.0,77.25,Madakasira,0.17,0.0,0.0,0.02,4.14,2.14,3.53,0.4,1.95,0.2,0.0,0.31
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.0,77.5,Somandepalle,0.44,0.0,0.0,0.14,4.61,3.68,5.1,0.45,1.28,0.27,0.06,1.01
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.0,77.75,Gorantla,0.24,0.0,0.0,0.0,4.14,3.17,3.51,0.48,0.52,0.03,0.24,1.16
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.0,78.0,Obuladevaracheruvu,0.48,0.0,0.0,0.0,2.4,3.51,2.77,0.52,1.82,0.12,0.11,1.19
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.0,78.25,Tanakal,0.2,0.0,0.0,0.0,3.02,3.68,3.62,0.38,1.34,0.29,0.05,2.43
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.0,78.5,Galiveedu,0.08,0.0,0.01,0.0,3.01,4.92,4.36,0.03,0.63,0.16,0.1,2.98
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.0,78.75,Sambepalle,0.04,0.0,0.0,0.0,2.53,4.86,4.43,0.06,0.81,0.12,0.14,3.28
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.0,79.0,T Sundupalle,0.0,0.0,0.0,0.0,2.55,3.77,2.3,0.32,1.66,0.24,0.21,5.25
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.0,79.25,Obulavaripalle,0.01,0.0,0.0,0.0,3.8,3.32,3.14,0.35,1.35,0.23,1.07,5.93
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.0,79.5,Venkatagiri,0.19,0.0,0.0,0.0,3.67,3.24,2.91,0.34,1.28,0.49,1.38,6.54
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.0,79.75,Ojili,0.58,0.0,0.0,0.0,3.8,2.66,2.63,0.59,1.26,0.53,2.01,6.38
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.0,80.0,Chittamur,0.28,0.0,0.0,0.0,5.46,3.04,2.7,0.79,2.88,1.1,1.63,6.01
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.25,77.0,Kundurpi,0.44,0.0,0.33,0.15,3.88,2.95,5.54,0.17,2.37,1.91,0.02,2.26
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.25,77.75,Kothacheruvu,0.29,0.0,0.0,0.0,3.24,3.71,3.74,0.56,0.93,0.15,0.08,0.89
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.25,78.0,Bukkapatnam,0.42,0.0,0.0,0.0,2.17,4.22,2.69,0.98,2.12,0.42,0.05,1.13
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.25,78.25,Talupula,1.0,0.0,0.01,0.0,1.98,5.43,3.9,1.91,1.91,0.55,0.16,1.86
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.25,78.5,Chakrayapet,0.07,0.0,0.05,0.0,1.93,5.02,4.54,0.18,0.88,0.06,0.38,3.21
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.25,78.75,Ramapuram,0.06,0.0,0.01,0.0,1.76,4.64,4.48,0.33,1.77,0.13,0.2,3.55
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.25,79.0,Rajampet,0.0,0.0,0.0,0.0,1.6,3.75,2.85,0.42,1.99,0.18,0.08,4.56
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.25,79.25,Penagalur,0.0,0.0,0.0,0.0,4.1,3.09,2.74,0.36,1.32,0.04,1.38,4.53
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.25,79.5,Rapur,0.45,0.0,0.0,0.14,3.29,3.77,2.08,0.34,1.79,0.03,1.65,5.4
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.25,79.75,Sydapuram,0.74,0.0,0.0,0.03,2.9,2.78,2.28,0.73,0.42,0.26,1.86,5.93
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.25,80.0,Venkatachalam,0.62,0.0,0.0,0.05,3.53,3.23,1.68,1.07,1.11,0.74,1.35,5.47
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.5,77.0,Brahmasamudram,0.58,0.0,0.02,0.01,3.31,3.74,4.89,0.06,2.52,0.09,0.0,0.58
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.5,77.25,Kambadur,0.56,0.0,0.0,0.0,2.19,1.85,2.78,0.68,1.75,0.05,0.0,0.21
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.5,77.5,Raptadu,0.43,0.0,0.0,0.0,3.08,4.07,2.87,0.58,1.15,0.41,0.02,0.33
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.5,77.75,Bathalapalle,0.52,0.0,0.0,0.0,2.03,2.99,2.72,1.29,2.59,0.16,0.11,0.38
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.5,78.0,Lingala,0.62,0.0,0.0,0.0,2.25,4.36,2.47,2.86,2.08,0.88,0.04,0.82
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.5,78.25,Thonduru,0.97,0.0,0.0,0.0,1.84,5.78,3.85,2.24,2.99,0.66,0.12,1.39
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.5,78.5,Veerapunayunipalle,0.53,0.0,0.0,0.0,0.24,4.6,5.2,0.83,6.68,0.08,0.03,1.37
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.5,78.75,Vallur,0.22,0.0,0.0,0.0,0.53,3.41,5.27,0.81,4.52,0.35,0.09,2.6
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.5,79.0,Sidhout,0.1,0.0,0.0,0.0,0.69,2.77,4.49,1.27,2.64,0.67,0.2,3.27
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.5,79.25,Gopavaram,0.2,0.0,0.0,0.08,3.62,3.43,1.63,0.83,1.33,0.18,0.76,4.71
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.5,79.5,Chejerla,0.32,0.0,0.0,0.11,3.56,3.63,1.06,1.03,1.3,0.23,0.53,5.14
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.5,79.75,Podalakur,0.62,0.0,0.0,0.01,3.35,2.98,1.45,1.54,0.44,1.0,1.02,4.88
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.5,80.0,Kovur,0.57,0.0,0.0,0.03,3.3,2.76,1.61,1.32,1.25,1.06,1.26,5.28
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.75,77.0,Kanekal,0.12,0.0,0.0,0.0,2.28,3.72,3.28,0.27,1.14,0.29,0.18,0.85
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.75,77.25,Uravakonda,0.29,0.0,0.0,0.0,2.21,2.38,2.29,0.48,1.73,0.24,0.43,0.15
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.75,77.5,Kudair,0.58,0.0,0.0,0.0,2.31,3.01,3.56,0.69,1.83,0.31,0.02,0.2
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.75,77.75,Narpala,0.63,0.0,0.0,0.0,2.06,3.33,3.5,1.75,2.34,0.4,0.05,0.17
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.75,78.0,Putlur,0.93,0.0,0.0,0.0,2.36,3.51,3.11,3.88,2.25,0.64,0.07,0.26
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,14.75,78.25,Muddanur,1.06,0.0,0.0,0.0,1.86,6.83,4.5,2.99,6.23,0.35,0.31,0.49
